"id","product_code","unit_price","category","stock_sold","sale","salesman_name","customer_name","customer_gender","age","location_customer","location_shop","datetime"
21,"Product XC79",40,"Fashion",25,1000,"Em Oxtaby","Wendel Brunel","Male",35,"15917 Fremont Crossing","El Paso",2019-04-07 06:30:00
22,"Product XC49",40,"Toys",16,640,"Gorden Woolis","Burnard Lytell","Male",60,"69745 Butternut Plaza","Charleston",2022-02-19 15:00:00
23,NA,NA,NA,NA,NA,"Marlowe Cheshir",NA,NA,NA,"52436 Jenifer Court","Boise",2018-01-21 22:00:00
24,"Product XC65",15,"Food",23,345,"Theressa Orbine","Rhoda Kimbell","Female",30,"87 Farragut Parkway","El Paso",2020-08-06 00:00:00
25,"Product XC60",50,"Toys",3,150,"Jeannette Willavoys","Zaria Staddart","Female",54,"9259 Clemons Plaza","Baltimore",2021-04-29 08:30:00
26,"Product XC50",50,"Health",11,550,"Gorden Woolis","Wyn Garmey","Male",44,"69745 Butternut Plaza","Charleston",2018-01-04 16:00:00
27,"Product XC45",15,"Toys",14,210,"Oran Eustis","Guilbert Burdas","Male",44,"0454 Grover Parkway","Peoria",2020-05-18 04:30:00
28,"Product XC01",5,"Automotive",22,110,"Ingelbert Boliver","Clarence Matussevich","Male",17,"65041 Milwaukee Drive","Peoria",2020-06-23 19:30:00
29,"Product XC37",25,"Fashion",19,475,"Nanine Sandercock","Ashlen Upstell","Female",47,"38525 Dorton Alley","Midland",2019-02-18 01:00:00
30,"Product XC62",8,"Health",12,96,"Bank Chataignier","Leisha Patis","Female",51,"6315 Hoard Court","Charleston",2019-02-08 16:00:00
31,"Product XC18",30,"Automotive",5,150,"Cullin Shorte","Elston Kubal","Male",40,"347 Tennessee Junction","Baltimore",2021-04-03 16:00:00
32,"Product XC75",15,"Health",3,45,"Marlowe Cheshir","Agneta McFetridge","Female",52,"24288 Larry Alley","Boise",2020-03-24 19:00:00
33,"Product XC65",15,"Food",23,345,"Ingelbert Boliver","Carie Prendergrast","Female",28,"0454 Grover Parkway","Peoria",2020-01-08 20:00:00
34,"Product XC41",5,"Electronics",16,80,"Gerek Musterd","Jacquetta Ibbitt","Female",42,"04 Holy Cross Road","Midland",2018-05-13 12:00:00
35,"Product XC74",12,"Toys",15,180,"Cullin Shorte","Marcia Connikie","Female",53,"347 Tennessee Junction","Baltimore",2022-01-29 04:00:00
36,"Product XC77",25,"Beauty",14,350,"Cullin Shorte","Kristyn Anthes","Female",34,"42302 Erie Point","Baltimore",2020-04-06 11:30:00
37,"Product XC14",12,"Food",25,300,"Boyce Krikorian","Carly Janeczek","Female",20,"3016 Oak Valley Alley","Charleston",2020-06-27 18:00:00
38,"Product XC67",25,"Electronics",8,200,"Emlynne Filipson","Phillis Kores","Female",39,"651 Mariners Cove Place","Midland",2021-08-13 09:30:00
39,"Product XC17",25,"Fashion",14,350,"Mireille Stott","Reginauld Doxsey","Male",53,"3 Randy Plaza","Boise",2020-11-02 01:30:00
40,"Product XC21",5,"Automotive",7,35,"Oran Eustis","Thomasina Huttley","Female",23,"8064 Menomonie Alley","Peoria",2020-04-20 19:00:00
41,"Product XC36",20,"Health",4,80,"Antonetta Tindall","Murial Baudinelli","Female",31,"69139 Dahle Drive","Baltimore",2019-08-26 09:30:00
42,"Product XC55",15,"Beauty",25,375,"Antonetta Tindall","Bernarr Rann","Male",42,"4883 Armistice Terrace","Baltimore",2019-10-22 14:00:00
43,"Product XC35",15,"Electronics",10,150,"Marlowe Cheshir","Alyce Mariner","Female",59,"627 Surrey Way","Boise",2021-01-16 05:30:00
44,"Product XC45",15,"Food",21,315,"Antonetta Tindall","Sherwin Lavelle","Male",55,"42302 Erie Point","Baltimore",2019-08-20 22:30:00
45,"Product XC30",50,"Automotive",13,650,"Marlowe Cheshir","Dael Giraudy","Female",54,"7 Welch Pass","Boise",2018-01-17 12:00:00
46,"Product XC39",40,"Food",14,560,"Nanine Sandercock","Mireielle Hymus","Female",37,"597 Miller Way","Midland",2019-08-04 22:00:00
47,"Product XC37",25,"Electronics",10,250,"Gerek Musterd","Fiorenze Barks","Female",33,"04 Holy Cross Road","Midland",2018-09-20 16:00:00
48,"Product XC73",10,"Beauty",18,180,"Oran Eustis","Boycey Ocurran","Male",23,"8064 Menomonie Alley","Peoria",2018-08-28 21:00:00
49,"Product XC07",25,"Food",25,625,"Emlynne Filipson","Lonnie Henriksson","Female",56,"58688 Atwood Circle","Midland",2022-04-07 02:00:00
50,"Product XC39",40,"Food",18,720,"Boyce Krikorian","Codie Trayhorn","Female",19,"0204 Chive Road","Charleston",2018-07-31 12:00:00
51,"Product XC42",8,"Food",19,152,"Kellina Sayward","Dael Giraudy","Female",54,"7 Welch Pass","Boise",2020-06-02 02:30:00
52,"Product XC37",25,"Electronics",9,225,"Oran Eustis","Carie Prendergrast","Female",28,"0454 Grover Parkway","Peoria",2020-02-09 09:30:00
53,"Product XC14",12,"Furniture",19,228,"Boyce Krikorian","Leisha Patis","Female",51,"6315 Hoard Court","Charleston",2022-11-10 19:00:00
54,"Product XC80",50,"Electronics",23,1150,"Gerek Musterd","Lenore Wakes","Female",39,"91659 Rutledge Plaza","Midland",2021-10-12 03:00:00
55,"Product XC23",10,"Beauty",17,170,"Boyce Krikorian","Codie Trayhorn","Female",19,"0204 Chive Road","Charleston",2022-11-09 08:00:00
56,"Product XC04",12,"Food",21,252,"Nanine Sandercock","Fairlie Perocci","Male",35,"651 Mariners Cove Place","Midland",2022-04-10 22:00:00
57,"Product XC62",8,"Fashion",12,96,"Emlynne Filipson","Ashlen Upstell","Female",47,"38525 Dorton Alley","Midland",2018-07-14 16:30:00
58,"Product XC09",40,"Beauty",7,280,"Cullin Shorte","Zaria Staddart","Female",54,"9259 Clemons Plaza","Baltimore",2019-01-11 09:30:00
59,"Product XC28",30,"Beauty",10,300,"Emlynne Filipson","Oby Liggett","Male",21,"91659 Rutledge Plaza","Midland",2019-12-10 19:00:00
60,"Product XC24",12,"Beauty",4,48,"Oran Eustis","Anet Dunham","Female",19,"6 Walton Street","Peoria",2018-03-04 04:30:00
61,"Product XC52",8,"Toys",8,64,"Theressa Orbine","Waneta Beri","Female",64,"601 Gina Trail","El Paso",2022-04-11 11:00:00
62,"Product XC48",30,"Furniture",9,270,"Nanine Sandercock","Mireielle Hymus","Female",37,"597 Miller Way","Midland",2020-06-03 04:30:00
63,"Product XC66",20,"Beauty",5,100,"Oran Eustis","Drew Dahlgren","Male",38,"8064 Menomonie Alley","Peoria",2021-01-30 04:30:00
64,"Product XC29",40,"Electronics",9,360,"Oran Eustis","Phillie Bolzen","Female",39,"1136 Bunker Hill Hill","Peoria",2019-05-29 03:30:00
65,"Product XC27",25,"Toys",22,550,"Ingelbert Boliver","Jerrome Trownson","Male",58,"703 Harbort Terrace","Peoria",2021-06-16 09:30:00
66,NA,NA,NA,NA,NA,"Mireille Stott",NA,NA,NA,"52436 Jenifer Court","Boise",2018-08-21 06:00:00
67,"Product XC09",40,"Health",17,680,"Emlynne Filipson","Phillis Kores","Female",39,"651 Mariners Cove Place","Midland",2021-05-24 02:00:00
68,"Product XC14",12,"Toys",18,216,"Theressa Orbine","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2021-12-17 02:30:00
69,"Product XC22",8,"Toys",17,136,"Em Oxtaby","Papagena Arnaud","Female",19,"9981 Stoughton Way","El Paso",2021-12-16 21:00:00
70,"Product XC42",8,"Beauty",19,152,"Boyce Krikorian","Carly Janeczek","Female",20,"3016 Oak Valley Alley","Charleston",2022-08-26 05:00:00
71,"Product XC26",20,"Toys",22,440,"Oran Eustis","Hiram Baxster","Male",51,"1136 Bunker Hill Hill","Peoria",2019-11-16 09:30:00
72,"Product XC06",20,"Toys",25,500,"Jeannette Willavoys","Rosaline Breagan","Female",21,"18048 Sommers Alley","Baltimore",2022-03-11 21:00:00
73,"Product XC04",12,"Health",18,216,"Marlowe Cheshir","Dael Giraudy","Female",54,"7 Welch Pass","Boise",2018-02-26 08:30:00
74,"Product XC17",25,"Fashion",12,300,"Jeannette Willavoys","Zaria Staddart","Female",54,"9259 Clemons Plaza","Baltimore",2020-12-13 10:30:00
75,"Product XC47",25,"Food",16,400,"Jeannette Willavoys","Simon Land","Male",38,"42302 Erie Point","Baltimore",2021-06-07 07:00:00
76,"Product XC56",20,"Electronics",15,300,"Chris Andreone","Waneta Beri","Female",64,"601 Gina Trail","El Paso",2020-02-08 13:30:00
77,"Product XC31",5,"Furniture",9,45,"Mireille Stott","Dael Giraudy","Female",54,"7 Welch Pass","Boise",2021-03-05 19:30:00
78,"Product XC31",5,"Automotive",20,100,"Goddard Twiddy","Lois Skillings","Female",32,"703 Harbort Terrace","Peoria",2022-10-09 04:30:00
79,"Product XC14",12,"Health",12,144,"Oran Eustis","Anet Dunham","Female",19,"6 Walton Street","Peoria",2019-02-26 00:00:00
80,NA,NA,NA,NA,NA,"Kellina Sayward",NA,NA,NA,"52436 Jenifer Court","Boise",2021-02-11 03:00:00
81,"Product XC38",30,"Fashion",18,540,"Kellina Sayward","Waite Olford","Male",29,"24288 Larry Alley","Boise",2018-11-11 14:30:00
82,"Product XC03",10,"Electronics",10,100,"Mireille Stott","Bridgette Sleney","Female",54,"24288 Larry Alley","Boise",2022-04-05 18:30:00
83,"Product XC51",5,"Fashion",23,115,"Gorden Woolis","Vaughn Gages","Male",41,"3016 Oak Valley Alley","Charleston",2022-11-12 08:30:00
84,"Product XC62",8,"Food",12,96,"Chris Andreone","Waneta Beri","Female",64,"601 Gina Trail","El Paso",2022-11-02 15:30:00
85,"Product XC29",40,"Beauty",10,400,"Boyce Krikorian","Jared McCreery","Male",36,"3016 Oak Valley Alley","Charleston",2019-02-09 02:00:00
86,"Product XC43",10,"Electronics",7,70,"Jeannette Willavoys","Simon Land","Male",38,"42302 Erie Point","Baltimore",2020-04-13 20:00:00
87,"Product XC06",20,"Food",16,320,"Cullin Shorte","Bernarr Rann","Male",42,"4883 Armistice Terrace","Baltimore",2022-07-10 22:30:00
88,"Product XC40",50,"Furniture",5,250,"Nanine Sandercock","Giovanni Gebby","Male",48,"651 Mariners Cove Place","Midland",2021-02-13 09:00:00
89,"Product XC33",10,"Food",22,220,"Kellina Sayward","Fidelity Deporte","Female",25,"627 Surrey Way","Boise",2020-05-18 13:30:00
90,"Product XC13",10,"Toys",13,130,"Kellina Sayward","Reginauld Doxsey","Male",53,"3 Randy Plaza","Boise",2019-08-24 02:30:00
91,"Product XC41",5,"Health",9,45,"Gorden Woolis","Lesli Guerriero","Female",20,"3016 Oak Valley Alley","Charleston",2022-04-28 00:00:00
92,"Product XC76",20,"Furniture",22,440,"Gorden Woolis","Christiano Corssen","Male",18,"7 Spaight Crossing","Charleston",2018-02-07 13:00:00
93,"Product XC37",25,"Food",14,350,"Marlowe Cheshir","Dael Giraudy","Female",54,"7 Welch Pass","Boise",2019-11-06 23:30:00
94,"Product XC28",30,"Health",8,240,"Nanine Sandercock","Phillis Kores","Female",39,"651 Mariners Cove Place","Midland",2020-03-11 23:00:00
95,"Product XC73",10,"Fashion",16,160,"Oran Eustis","Abigael Anglish","Female",29,"8064 Menomonie Alley","Peoria",2020-04-02 12:00:00
96,"Product XC18",30,"Furniture",21,630,"Ingelbert Boliver","Anet Dunham","Female",19,"6 Walton Street","Peoria",2018-02-26 17:00:00
97,"Product XC44",12,"Electronics",25,300,"Boyce Krikorian","Pasquale Gauden","Male",25,"0204 Chive Road","Charleston",2019-10-24 13:30:00
98,NA,NA,NA,NA,NA,"Kellina Sayward",NA,NA,NA,"52436 Jenifer Court","Boise",2020-03-28 03:30:00
99,"Product XC74",12,"Electronics",19,228,"Nanine Sandercock","Gifford Theakston","Male",30,"597 Miller Way","Midland",2022-10-16 11:30:00
100,"Product XC70",50,"Health",15,750,"Theressa Orbine","Jaymee Goghin","Female",54,"87 Farragut Parkway","El Paso",2022-01-27 13:30:00
101,"Product XC29",40,"Health",22,880,"Marlowe Cheshir","Reginauld Doxsey","Male",53,"3 Randy Plaza","Boise",2020-02-21 19:00:00
102,"Product XC44",12,"Beauty",5,60,"Em Oxtaby","Tani Clyma","Female",52,"117 Farmco Drive","El Paso",2019-04-16 03:00:00
103,"Product XC01",5,"Fashion",17,85,"Oran Eustis","Phillie Bolzen","Female",39,"1136 Bunker Hill Hill","Peoria",2019-01-29 07:00:00
104,"Product XC63",10,"Food",9,90,"Jeannette Willavoys","Randi Leighton","Male",37,"69139 Dahle Drive","Baltimore",2020-04-10 13:30:00
105,"Product XC69",40,"Electronics",19,760,"Nanine Sandercock","Lonnie Henriksson","Female",56,"58688 Atwood Circle","Midland",2018-08-10 11:30:00
106,"Product XC10",50,"Furniture",6,300,"Boyce Krikorian","Audie Salliere","Female",58,"52543 Mallard Place","Charleston",2018-08-27 04:00:00
107,"Product XC13",10,"Furniture",22,220,"Goddard Twiddy","Ring Gerb","Male",39,"703 Harbort Terrace","Peoria",2018-10-18 21:00:00
108,"Product XC03",10,"Furniture",16,160,"Gorden Woolis","Christiano Corssen","Male",18,"7 Spaight Crossing","Charleston",2018-03-17 07:30:00
109,"Product XC16",20,"Electronics",24,480,"Kellina Sayward","Dael Giraudy","Female",54,"7 Welch Pass","Boise",2022-12-04 03:30:00
110,"Product XC52",8,"Fashion",12,96,"Mireille Stott","Waite Olford","Male",29,"24288 Larry Alley","Boise",2018-12-30 08:30:00
111,NA,NA,NA,NA,NA,"Mireille Stott",NA,NA,NA,"65 Helena Way","Boise",2019-09-23 20:00:00
112,"Product XC55",15,"Furniture",22,330,"Bank Chataignier","Eugene Darree","Male",28,"52543 Mallard Place","Charleston",2018-05-09 10:30:00
113,"Product XC10",50,"Toys",5,250,"Goddard Twiddy","Phillie Bolzen","Female",39,"1136 Bunker Hill Hill","Peoria",2021-07-28 10:00:00
114,"Product XC12",8,"Furniture",11,88,"Theressa Orbine","Tonnie Derisly","Male",57,"117 Farmco Drive","El Paso",2021-03-12 18:30:00
115,"Product XC47",25,"Health",24,600,"Antonetta Tindall","Randi Leighton","Male",37,"69139 Dahle Drive","Baltimore",2019-12-18 13:30:00
116,NA,NA,NA,NA,NA,"Marlowe Cheshir",NA,NA,NA,"65 Helena Way","Boise",2021-01-26 19:30:00
117,"Product XC57",25,"Fashion",21,525,"Theressa Orbine","Anne-marie Whelan","Female",58,"117 Farmco Drive","El Paso",2022-07-14 02:00:00
118,"Product XC16",20,"Beauty",17,340,"Boyce Krikorian","Leisha Patis","Female",51,"6315 Hoard Court","Charleston",2021-04-19 16:00:00
119,"Product XC29",40,"Furniture",13,520,"Oran Eustis","Clarence Matussevich","Male",17,"65041 Milwaukee Drive","Peoria",2019-05-18 08:30:00
120,"Product XC21",5,"Electronics",3,15,"Oran Eustis","Arnold Matteucci","Male",25,"0454 Grover Parkway","Peoria",2018-01-01 01:30:00
121,"Product XC42",8,"Food",11,88,"Nanine Sandercock","Ailis Brabham","Female",34,"38525 Dorton Alley","Midland",2020-09-20 01:00:00
122,"Product XC39",40,"Automotive",23,920,"Marlowe Cheshir","Alyce Mariner","Female",59,"627 Surrey Way","Boise",2022-02-05 05:30:00
123,"Product XC59",40,"Toys",21,840,"Nanine Sandercock","Ashlen Upstell","Female",47,"38525 Dorton Alley","Midland",2019-05-30 16:00:00
124,"Product XC16",20,"Furniture",6,120,"Kellina Sayward","Kristofor Chanders","Male",20,"627 Surrey Way","Boise",2018-04-14 16:30:00
125,"Product XC07",25,"Food",8,200,"Gorden Woolis","Florri Gonnin","Female",57,"7 Spaight Crossing","Charleston",2021-03-01 06:00:00
126,"Product XC31",5,"Fashion",13,65,"Bank Chataignier","Florri Gonnin","Female",57,"7 Spaight Crossing","Charleston",2022-12-15 05:30:00
127,"Product XC79",40,"Toys",5,200,"Ingelbert Boliver","Clarence Matussevich","Male",17,"65041 Milwaukee Drive","Peoria",2019-03-22 06:00:00
128,"Product XC18",30,"Health",19,570,"Jeannette Willavoys","Zaria Staddart","Female",54,"9259 Clemons Plaza","Baltimore",2018-10-10 07:00:00
129,"Product XC58",30,"Toys",22,660,"Chris Andreone","Papagena Arnaud","Female",19,"9981 Stoughton Way","El Paso",2021-04-20 23:00:00
130,"Product XC19",40,"Electronics",24,960,"Gerek Musterd","Lenore Wakes","Female",39,"91659 Rutledge Plaza","Midland",2018-11-14 04:30:00
131,"Product XC78",30,"Health",22,660,"Theressa Orbine","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2021-05-27 22:00:00
132,"Product XC03",10,"Food",13,130,"Theressa Orbine","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2019-10-21 03:30:00
133,"Product XC34",12,"Automotive",18,216,"Em Oxtaby","Wendel Brunel","Male",35,"15917 Fremont Crossing","El Paso",2019-11-29 05:30:00
134,"Product XC75",15,"Health",14,210,"Kellina Sayward","Waite Olford","Male",29,"24288 Larry Alley","Boise",2020-07-28 06:30:00
135,"Product XC75",15,"Fashion",5,75,"Antonetta Tindall","Murial Baudinelli","Female",31,"69139 Dahle Drive","Baltimore",2020-01-09 11:00:00
136,"Product XC74",12,"Electronics",12,144,"Gorden Woolis","Eugene Darree","Male",28,"52543 Mallard Place","Charleston",2020-06-12 22:30:00
137,"Product XC36",20,"Health",12,240,"Jeannette Willavoys","Murial Baudinelli","Female",31,"69139 Dahle Drive","Baltimore",2022-11-04 20:30:00
138,"Product XC76",20,"Furniture",20,400,"Kellina Sayward","Agneta McFetridge","Female",52,"24288 Larry Alley","Boise",2018-12-04 21:00:00
139,"Product XC27",25,"Electronics",4,100,"Bank Chataignier","Wyn Garmey","Male",44,"69745 Butternut Plaza","Charleston",2018-08-29 08:30:00
140,"Product XC23",10,"Toys",8,80,"Boyce Krikorian","Tonye Pipe","Female",64,"3016 Oak Valley Alley","Charleston",2018-11-24 21:00:00
141,"Product XC14",12,"Automotive",20,240,"Goddard Twiddy","Jerrome Trownson","Male",58,"703 Harbort Terrace","Peoria",2021-07-06 01:30:00
142,"Product XC52",8,"Automotive",4,32,"Ingelbert Boliver","Carie Prendergrast","Female",28,"0454 Grover Parkway","Peoria",2020-02-15 01:30:00
143,"Product XC20",50,"Furniture",18,900,"Chris Andreone","Papagena Arnaud","Female",19,"9981 Stoughton Way","El Paso",2018-09-28 04:00:00
144,"Product XC44",12,"Electronics",3,36,"Cullin Shorte","Zaria Staddart","Female",54,"9259 Clemons Plaza","Baltimore",2022-11-27 04:00:00
145,"Product XC78",30,"Beauty",20,600,"Emlynne Filipson","Mireielle Hymus","Female",37,"597 Miller Way","Midland",2018-04-25 21:00:00
146,"Product XC80",50,"Electronics",24,1200,"Bank Chataignier","Tonye Pipe","Female",64,"3016 Oak Valley Alley","Charleston",2019-04-17 20:00:00
147,"Product XC36",20,"Automotive",17,340,"Chris Andreone","Zelma Frarey","Female",26,"87 Farragut Parkway","El Paso",2020-05-12 03:00:00
148,"Product XC59",40,"Fashion",12,480,"Kellina Sayward","Bridgette Sleney","Female",54,"24288 Larry Alley","Boise",2018-06-19 13:30:00
149,"Product XC18",30,"Food",5,150,"Emlynne Filipson","Lenore Wakes","Female",39,"91659 Rutledge Plaza","Midland",2022-07-12 02:00:00
150,"Product XC74",12,"Automotive",14,168,"Goddard Twiddy","Abigael Anglish","Female",29,"8064 Menomonie Alley","Peoria",2021-04-06 15:00:00
151,"Product XC69",40,"Fashion",8,320,"Theressa Orbine","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2021-11-26 08:00:00
152,"Product XC14",12,"Fashion",5,60,"Nanine Sandercock","Lonnie Henriksson","Female",56,"58688 Atwood Circle","Midland",2018-07-25 09:30:00
153,"Product XC53",10,"Fashion",24,240,"Nanine Sandercock","Jacquetta Ibbitt","Female",42,"04 Holy Cross Road","Midland",2018-07-16 14:00:00
154,"Product XC78",30,"Fashion",9,270,"Cullin Shorte","Elston Kubal","Male",40,"347 Tennessee Junction","Baltimore",2020-10-29 12:30:00
155,"Product XC64",12,"Toys",24,288,"Bank Chataignier","Vaughn Gages","Male",41,"3016 Oak Valley Alley","Charleston",2020-06-29 20:00:00
156,"Product XC78",30,"Beauty",22,660,"Cullin Shorte","Mellisa Plumbridge","Female",57,"18048 Sommers Alley","Baltimore",2022-01-21 06:00:00
157,"Product XC42",8,"Food",10,80,"Ingelbert Boliver","Clarence Matussevich","Male",17,"65041 Milwaukee Drive","Peoria",2020-06-10 03:00:00
158,"Product XC12",8,"Beauty",23,184,"Gorden Woolis","Nate Swannick","Male",45,"69745 Butternut Plaza","Charleston",2019-01-25 04:00:00
159,"Product XC37",25,"Toys",15,375,"Jeannette Willavoys","Bernarr Rann","Male",42,"4883 Armistice Terrace","Baltimore",2020-10-25 20:30:00
160,"Product XC49",40,"Fashion",21,840,"Gorden Woolis","Stormie Mattedi","Female",33,"0204 Chive Road","Charleston",2018-09-24 04:00:00
161,"Product XC40",50,"Fashion",10,500,"Marlowe Cheshir","Waite Olford","Male",29,"24288 Larry Alley","Boise",2019-02-06 12:30:00
162,"Product XC14",12,"Furniture",4,48,"Bank Chataignier","Lesli Guerriero","Female",20,"3016 Oak Valley Alley","Charleston",2020-09-08 04:00:00
163,NA,NA,NA,NA,NA,"Kellina Sayward",NA,NA,NA,"65 Helena Way","Boise",2021-03-08 09:00:00
164,"Product XC17",25,"Electronics",3,75,"Ingelbert Boliver","Clarence Matussevich","Male",17,"65041 Milwaukee Drive","Peoria",2022-02-14 10:30:00
165,NA,NA,NA,NA,NA,"Kellina Sayward",NA,NA,NA,"65 Helena Way","Boise",2022-04-28 00:30:00
166,NA,NA,NA,NA,NA,"Mireille Stott",NA,NA,NA,"65 Helena Way","Boise",2022-01-26 04:30:00
167,NA,NA,NA,NA,NA,"Marlowe Cheshir",NA,NA,NA,"65 Helena Way","Boise",2021-07-06 23:00:00
168,"Product XC30",50,"Toys",18,900,"Nanine Sandercock","Oby Liggett","Male",21,"91659 Rutledge Plaza","Midland",2019-07-05 08:00:00
169,"Product XC29",40,"Health",21,840,"Em Oxtaby","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2020-11-30 06:30:00
170,"Product XC39",40,"Fashion",20,800,"Goddard Twiddy","Ring Gerb","Male",39,"703 Harbort Terrace","Peoria",2022-04-20 21:00:00
171,"Product XC64",12,"Health",17,204,"Chris Andreone","Waneta Beri","Female",64,"601 Gina Trail","El Paso",2019-02-27 22:00:00
172,"Product XC55",15,"Health",23,345,"Emlynne Filipson","Sydney Axelbee","Male",20,"58688 Atwood Circle","Midland",2021-12-24 02:30:00
173,"Product XC15",15,"Food",4,60,"Theressa Orbine","Papagena Arnaud","Female",19,"9981 Stoughton Way","El Paso",2020-05-21 00:00:00
174,"Product XC53",10,"Fashion",3,30,"Marlowe Cheshir","Wileen Everson","Female",20,"24288 Larry Alley","Boise",2022-06-11 11:00:00
175,"Product XC13",10,"Toys",9,90,"Theressa Orbine","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2019-01-19 11:30:00
176,"Product XC35",15,"Food",12,180,"Em Oxtaby","Jaymee Goghin","Female",54,"87 Farragut Parkway","El Paso",2019-08-29 15:30:00
177,"Product XC04",12,"Automotive",17,204,"Boyce Krikorian","Christiano Corssen","Male",18,"7 Spaight Crossing","Charleston",2022-11-18 14:00:00
178,"Product XC17",25,"Beauty",19,475,"Marlowe Cheshir","Alyce Mariner","Female",59,"627 Surrey Way","Boise",2021-12-26 01:00:00
179,"Product XC35",15,"Beauty",23,345,"Chris Andreone","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2019-10-09 23:30:00
180,"Product XC54",12,"Health",24,288,"Chris Andreone","Felisha Gatiss","Female",48,"117 Farmco Drive","El Paso",2020-06-06 12:00:00
181,"Product XC36",20,"Furniture",6,120,"Oran Eustis","Anet Dunham","Female",19,"6 Walton Street","Peoria",2019-12-24 00:00:00
182,"Product XC78",30,"Beauty",5,150,"Theressa Orbine","Jamil Platfoot","Male",51,"12 Buhler Street","El Paso",2018-09-06 02:00:00
183,"Product XC67",25,"Electronics",21,525,"Ingelbert Boliver","Anet Dunham","Female",19,"6 Walton Street","Peoria",2022-05-11 02:00:00
184,"Product XC09",40,"Toys",19,760,"Ingelbert Boliver","Georgianna Spooner","Female",39,"1136 Bunker Hill Hill","Peoria",2019-11-10 22:30:00
185,"Product XC31",5,"Automotive",8,40,"Gerek Musterd","Mireielle Hymus","Female",37,"597 Miller Way","Midland",2022-02-22 21:30:00
186,"Product XC19",40,"Fashion",6,240,"Em Oxtaby","Waneta Beri","Female",64,"601 Gina Trail","El Paso",2021-08-20 06:00:00
187,"Product XC36",20,"Toys",9,180,"Cullin Shorte","Murial Baudinelli","Female",31,"69139 Dahle Drive","Baltimore",2020-11-18 17:30:00
